ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
4832,5,3,3,1,228,2,1,1,5,4456,1
4537,4,2,4,2,266,3,3,2,1,5532,1
5111,3,3,3,4,256,3,1,2,7,5013,1
8197,4,1,4,4,195,3,1,1,6,5783,0
5511,1,3,6,2,305,4,1,2,8,1015,0
8311,4,3,6,3,264,4,2,2,5,1397,0
4188,5,3,4,4,206,3,2,1,10,4262,0
5522,5,3,6,2,304,4,2,1,10,1983,1
5430,5,3,3,4,156,3,2,2,6,5255,1
7205,3,3,5,4,252,5,1,1,10,1015,1
5401,4,3,3,5,227,4,1,1,9,4647,0
8999,3,3,5,4,145,4,1,2,4,4790,0
7641,1,3,4,1,151,3,1,1,4,5610,1
7948,2,2,4,1,254,7,1,2,5,4104,1
3574,2,2,3,4,143,4,2,2,5,5545,1
3270,5,1,2,2,160,3,2,1,9,4613,0
5897,3,2,4,2,252,3,1,1,1,4176,0
7346,5,3,4,3,171,3,2,1,8,4826,0
6402,5,3,3,3,237,2,2,2,8,5516,0
3643,4,3,4,4,205,4,1,1,6,5064,0
3606,5,3,4,1,276,2,2,2,3,1966,0
8666,5,3,4,4,201,3,1,1,2,5385,0
8564,5,3,3,2,177,2,3,2,9,4648,0
8845,4,3,4,5,208,2,1,2,1,4039,0
3835,4,2,5,2,132,3,2,1,4,4475,1
6691,4,1,3,3,213,2,1,2,10,5495,0
4238,5,1,2,1,137,3,1,2,1,4539,0
3201,1,3,4,3,296,3,1,2,4,1991,0
6842,5,1,3,4,207,2,1,2,6,5852,1
7715,3,3,5,2,228,5,1,2,6,1726,1
4054,2,3,3,5,273,10,2,1,5,4608,0
5644,2,3,4,4,144,2,1,2,5,4380,1
8417,3,3,2,1,207,3,2,1,10,5394,0
4818,5,3,7,1,290,4,1,1,9,1885,0
3627,1,3,4,3,227,3,2,1,10,5491,1
6975,1,1,5,3,168,3,2,1,2,5986,1
4925,3,1,4,4,196,5,3,1,7,4622,0
3782,5,3,4,1,197,3,1,1,6,5032,0
3758,5,3,4,5,188,5,1,1,1,5999,1
6187,4,3,4,1,258,4,3,1,1,5476,0
3328,2,3,4,3,243,3,2,2,1,5021,0
4225,4,1,2,4,246,2,2,2,1,5374,1
8611,4,1,5,4,228,5,1,1,9,1549,1
4411,4,3,3,5,197,3,2,1,2,4018,1
6906,5,3,6,3,306,4,3,1,5,1261,1
6425,3,1,5,1,163,3,1,2,4,4200,0
6282,5,1,6,4,287,4,2,1,9,1936,1
5905,4,2,5,4,202,3,1,1,3,4559,1
8947,4,3,4,3,236,3,1,2,1,4752,0
8622,5,1,4,2,246,5,1,2,9,1206,1
7229,3,3,3,5,268,2,1,1,4,5909,0
3189,1,3,3,3,213,10,2,2,2,4847,0
6782,5,3,5,1,142,6,2,2,1,4843,1
4879,4,3,2,1,148,2,1,2,10,5939,1
5293,4,3,3,2,205,2,1,2,6,4853,0
4650,5,1,4,1,206,3,1,1,4,4745,0
4495,4,1,4,5,244,2,2,1,7,5325,1
4607,3,3,3,1,233,2,3,2,1,5073,1
7246,2,1,3,5,205,4,1,2,2,5294,0
5080,2,2,4,1,212,3,1,2,2,4353,1
7923,1,1,4,5,169,4,1,2,5,5347,0
7023,1,3,3,1,179,2,2,1,10,4828,0
6372,5,3,3,3,249,2,2,2,9,4034,1
4863,1,3,4,3,223,3,1,1,10,5560,1
6099,1,3,5,5,153,5,2,2,10,5297,0
6896,5,3,5,5,237,5,3,1,2,1593,1
5920,2,3,3,3,149,3,1,2,6,4654,0
8132,5,3,5,4,237,3,2,1,1,4369,0
6939,1,3,5,4,271,3,1,2,3,5218,1
4371,1,1,4,2,221,3,1,2,10,5632,0
8762,5,1,3,4,136,3,2,2,6,4631,0
6742,2,3,3,2,209,2,2,1,2,4635,0
6059,3,3,3,4,163,3,1,2,7,5913,0
7194,5,3,5,3,258,5,1,1,4,1665,1
3903,1,3,5,3,231,3,2,1,2,4735,0
8146,2,3,5,2,284,4,1,2,1,4171,1
7978,2,3,4,1,153,7,2,1,4,5761,1
7629,1,3,4,4,255,3,3,1,3,5616,0
3408,5,1,3,2,253,3,1,1,7,4915,0
4023,1,3,5,5,194,4,2,1,4,4003,0
7437,1,3,6,1,232,5,3,2,10,4345,0
4746,5,3,3,2,144,3,3,2,1,5307,0
8637,1,2,7,2,253,4,1,2,1,1294,1
8915,3,2,6,3,276,4,1,2,6,1670,1
8394,5,3,6,4,152,3,1,2,10,4376,1
8214,5,1,4,5,179,3,1,1,4,4487,0
7521,1,1,3,5,204,2,1,2,1,4133,0
6086,5,3,4,5,217,3,1,1,6,4848,1
6459,1,3,3,2,198,2,1,2,9,4250,1
4239,1,1,2,5,273,2,3,2,5,4236,0
7263,1,2,5,2,240,2,2,2,4,4447,1
8201,3,1,3,3,169,3,1,1,7,5976,0
4945,4,2,4,1,143,3,2,2,4,4283,0
5105,3,3,2,5,175,5,1,1,8,4269,0
4796,5,2,6,4,247,4,1,1,2,1326,0
7131,1,2,4,3,169,6,2,2,3,5957,1
6520,2,3,3,2,270,3,2,2,9,5873,1
6670,2,3,3,1,266,5,1,2,1,5459,0
5015,3,3,6,2,254,4,1,2,4,1392,0
5703,1,3,4,4,188,3,1,2,6,4174,1
6673,4,3,3,5,153,4,1,1,10,5897,0
5779,4,3,4,2,243,5,2,1,8,1922,0
6329,3,3,5,5,137,2,1,2,8,5111,1
4259,3,2,4,4,141,3,1,2,7,4683,0
8798,5,3,3,3,150,2,2,2,9,4100,0
3016,2,2,3,1,104,2,1,2,1,1021,1
4451,3,3,4,4,176,6,3,2,5,4494,1
5930,5,3,4,4,138,5,1,2,10,5401,0
6145,4,1,5,5,161,3,1,1,1,4470,1
4815,1,3,7,3,286,4,1,1,3,1670,0
5976,5,3,4,1,212,2,2,2,4,4969,0
4844,5,3,6,5,284,4,2,2,8,5346,1
3767,3,3,5,2,156,4,1,2,8,5014,0
7621,4,3,2,3,206,4,2,1,2,5443,0
7005,1,3,4,3,221,2,1,1,6,4114,1
5891,3,2,3,4,138,2,2,1,8,4837,0
6115,4,3,3,2,204,3,1,1,8,4586,1
5349,1,2,4,1,263,4,1,2,9,4390,0
5466,5,1,6,4,304,4,1,2,6,1890,1
3899,3,3,4,4,155,2,2,1,9,4932,1
8401,4,3,5,1,150,4,1,1,1,5098,0
8200,2,1,5,4,180,4,2,1,7,4200,1
3151,4,2,3,3,238,8,2,1,3,4943,0
7416,5,3,5,4,271,4,1,1,5,1184,1
8013,1,3,5,3,252,5,1,2,3,1474,0
3858,5,3,5,1,245,2,2,1,2,4882,1
7967,3,3,4,4,261,2,2,2,8,5006,1
3373,4,3,3,2,234,4,3,1,7,4568,1
4078,2,3,4,5,233,4,1,1,6,4705,1
3655,4,3,5,3,169,3,1,1,9,4289,1
5277,1,3,6,5,294,4,1,2,4,1302,0
3647,3,3,5,5,135,3,2,2,2,5849,1
6106,2,3,3,5,186,3,2,2,7,4764,0
3747,1,3,2,2,180,2,3,2,1,4407,0
3670,2,3,3,3,198,2,1,2,8,4620,1
5854,2,3,6,1,185,4,3,1,10,5254,1
7796,5,1,3,1,160,2,1,1,10,5642,1
7376,5,1,3,1,194,2,2,1,1,5931,0
3704,5,2,6,3,225,4,1,2,5,4184,1
4458,5,3,3,3,174,3,2,1,2,4221,0
4000,2,3,3,4,134,3,3,1,6,5680,0
6239,3,3,4,4,268,4,1,2,5,5647,0
7812,5,2,5,4,228,4,3,1,7,5913,0
8512,2,3,5,3,185,2,1,2,2,5420,0
8213,3,1,3,4,186,4,1,1,6,5540,0
3609,1,3,3,5,257,3,1,2,5,5657,0
5129,3,3,3,3,271,4,3,2,3,4006,1
6007,4,1,6,3,244,4,1,1,1,1317,1
3476,5,3,6,4,100,5,1,1,7,5668,1
4901,3,3,4,4,163,6,2,2,1,4584,0
4264,2,2,4,1,240,4,1,1,6,4811,0
6275,3,3,6,5,300,5,1,2,1,1188,0
8172,5,3,4,2,224,3,1,1,9,4896,0
8219,3,2,4,2,175,3,3,2,4,4426,0
7002,5,2,4,1,181,2,1,2,2,4154,0
4146,5,3,2,5,123,4,2,2,8,4042,0
7470,5,3,5,5,271,4,1,2,8,1132,1
5651,3,3,5,1,156,2,1,2,10,5086,0
6785,3,3,3,1,220,3,2,1,6,5319,0
5141,3,3,4,5,231,4,2,2,9,5528,0
3776,5,3,4,2,283,7,3,1,9,5252,1
7682,5,2,5,3,254,2,2,1,5,4764,1
3762,5,3,3,1,252,3,3,1,6,5101,0
5243,3,3,5,5,230,10,3,1,3,5391,0
5967,1,3,4,5,270,5,1,1,1,1187,1
4826,5,3,3,4,269,3,2,2,9,5133,1
3184,2,3,4,3,246,3,1,1,5,4710,0
7141,4,2,5,5,223,5,2,1,5,1678,0
8990,5,3,4,4,174,2,1,1,1,4541,1
7900,2,3,5,5,261,5,2,2,9,5385,0
7680,5,2,3,1,159,2,2,1,3,5691,0
3692,5,1,3,5,272,2,1,2,3,5638,1
7984,2,3,6,3,250,2,2,1,1,4747,0
5550,5,3,3,4,168,2,2,2,9,5235,1
4800,5,2,7,2,250,5,2,2,9,1327,0
7199,3,3,6,4,291,4,1,1,5,1112,1
4372,2,1,4,1,207,2,2,2,4,4099,0
7909,4,3,4,5,254,3,2,1,10,4148,0
5707,4,3,4,2,260,3,2,1,3,4661,1
7868,5,3,4,3,213,3,2,2,4,4367,0
4426,2,3,5,5,188,3,1,1,7,4485,1
3475,4,3,2,2,161,5,2,2,3,4138,0
8104,2,3,3,2,161,3,2,1,1,5757,0
8558,5,3,4,5,262,6,1,2,10,1156,0
6678,5,3,4,4,231,3,1,2,9,4305,1
8232,5,2,4,2,256,4,1,1,7,5571,0
6876,5,3,5,2,248,5,1,2,4,1284,1
5822,5,3,4,4,276,2,2,1,3,4306,1
7122,5,2,4,5,98,4,1,2,5,5188,0
4950,5,3,5,5,137,3,1,2,5,5914,1
7012,2,3,4,2,198,6,2,2,5,4659,0
5784,5,3,4,3,249,5,1,1,3,1012,1
4968,5,3,3,1,268,3,1,2,2,4746,1
5608,2,1,3,1,166,2,2,1,9,5853,1
7526,5,1,4,3,174,3,1,1,3,4846,1
4951,4,3,3,3,165,4,2,2,3,4235,0
7119,1,1,3,5,221,3,2,1,8,4523,0
7928,5,1,5,5,218,5,1,2,5,4303,1
7508,5,3,5,2,248,5,2,1,9,1973,0
7731,1,3,4,5,247,5,1,2,9,1499,0
7769,3,3,5,3,238,5,3,2,10,1841,1
7616,5,3,4,4,175,3,1,2,8,5944,1
3057,1,3,3,4,176,3,1,1,4,1095,1
6093,1,3,5,1,279,4,2,1,3,4607,0
6240,5,3,3,4,175,3,2,2,10,4771,1
3519,1,3,3,1,148,2,2,2,5,4082,1
3987,1,2,3,2,227,2,2,2,9,4659,0
7223,3,3,4,2,244,5,1,1,7,5337,0
7123,4,2,5,1,198,4,1,1,5,5025,1
5637,1,3,4,5,206,2,2,1,10,4437,0
7652,5,1,5,2,233,4,2,1,9,5539,0
7304,5,3,5,1,248,3,1,1,2,4075,0
8982,5,3,4,4,184,3,1,1,10,5705,1
6206,5,3,3,2,126,10,1,2,3,4073,1
7242,5,1,4,5,129,5,2,2,7,5554,1
8474,5,1,3,2,257,3,2,2,2,5486,1
6147,1,1,4,5,234,4,2,2,9,5769,0
4989,1,3,6,5,254,4,1,2,7,1674,0
8028,5,3,6,5,301,4,1,1,7,1393,1
5856,5,3,4,3,266,2,2,2,6,4286,1
3969,1,2,3,3,234,3,2,1,3,4187,1
3559,4,2,4,4,210,2,3,2,6,4076,0
5350,2,2,4,1,254,2,1,2,10,4230,1
6890,5,3,6,2,279,4,1,2,1,1150,1
4543,4,3,5,1,275,4,2,1,6,1569,0
3398,5,3,4,4,176,3,1,1,1,4774,0
7979,3,3,3,4,188,5,1,1,3,4835,1
8680,2,3,4,5,196,2,2,1,3,5505,0
7573,4,3,3,5,194,3,1,2,6,4295,1
8089,4,2,3,2,262,2,2,2,4,5738,0
5641,4,3,4,2,227,5,2,2,6,4618,0
8587,4,3,3,5,251,10,2,2,9,5962,0
6528,5,3,5,3,222,3,2,1,10,4597,0
6767,3,3,2,3,248,4,3,1,2,4521,0
4658,5,2,4,1,273,2,3,1,10,5832,1
5685,1,3,3,1,212,3,2,2,10,5759,0
7582,2,3,5,4,199,4,1,1,7,5740,0
5728,2,1,7,5,291,4,3,2,6,1135,0
6719,3,2,4,2,142,3,2,1,6,4918,0
5449,4,3,6,4,157,6,1,1,9,5354,1
6123,1,3,5,4,275,2,2,2,10,5395,1
8342,5,1,6,4,285,4,2,1,10,1422,0
5169,1,3,5,4,269,2,1,1,9,5517,0
4258,2,2,4,2,239,2,1,1,10,4028,0
7980,5,3,4,4,272,2,1,2,7,4042,1
5307,1,3,4,4,252,3,2,2,1,5676,1
5413,4,3,3,2,177,4,1,1,3,5527,0
7335,1,3,4,2,213,3,2,2,8,5214,1
4370,5,1,3,5,244,3,1,2,3,4652,1
3612,5,3,2,1,100,3,1,2,1,5776,1
5133,1,3,4,4,208,5,2,1,7,5401,0
7321,4,3,5,4,273,6,2,1,7,4058,1
5945,3,3,2,5,286,6,2,1,5,5490,0
7546,2,2,3,1,177,3,1,1,9,4890,1
8616,5,1,4,5,239,5,1,2,7,1380,0
3493,4,3,3,2,185,2,3,1,3,4816,1
5757,1,2,6,1,266,4,2,1,2,1862,1
8043,1,3,3,3,307,5,1,1,3,1578,1
7451,3,3,4,4,239,5,1,2,6,1986,1
5267,3,3,6,2,304,5,2,2,6,1178,1
8635,4,2,7,5,269,4,2,2,2,1592,0
5867,3,1,4,4,206,2,3,2,8,4093,1
7845,1,3,3,5,192,2,1,1,7,5069,1
4166,5,3,4,3,222,3,1,1,8,4861,0
3304,2,2,4,2,222,2,2,2,5,4268,0
3854,5,3,3,3,232,3,1,1,9,5016,1
5520,5,3,3,5,222,2,1,2,9,1321,0
5029,4,3,3,5,149,2,2,2,5,1023,0
4834,2,3,4,3,251,3,2,2,5,4206,0
7735,4,3,5,4,259,5,1,1,4,1991,1
8825,3,3,5,2,254,6,1,2,5,1885,0
3119,3,3,2,4,182,4,2,2,1,3624,1
5570,5,3,2,1,214,3,3,2,1,4391,0
6020,5,1,6,5,282,4,2,2,3,1385,0
4663,4,2,5,2,279,4,1,1,8,4418,1
3600,5,3,3,4,217,3,1,1,5,4883,1
6587,3,2,6,4,299,4,2,2,9,1036,1
8480,5,1,4,2,190,2,2,1,1,4020,1
8096,5,2,4,2,266,5,2,2,3,4578,0
6082,2,3,4,2,270,2,3,1,9,5080,1
8072,5,1,4,1,241,2,1,2,3,5672,0
8995,4,3,3,1,217,3,1,1,1,4177,1
6196,2,3,4,3,210,3,1,2,9,5556,0
3254,5,3,3,3,235,3,2,1,10,4186,0
7491,1,3,6,4,269,4,2,1,1,1872,0
3322,2,3,4,3,178,6,1,2,6,4203,0
6169,4,2,5,2,197,4,3,2,4,4339,1
3428,5,2,4,3,148,5,2,1,6,4802,0
8399,3,3,3,5,246,3,2,2,1,5650,1
7217,3,3,5,2,246,5,2,1,9,1876,0
7602,5,3,3,3,261,4,2,1,4,4307,1
3264,5,1,4,3,209,3,2,2,7,4104,1
3136,2,1,6,5,141,3,2,2,8,5031,0
5764,2,2,5,4,219,5,1,2,5,1867,0
5168,5,3,2,5,195,3,1,2,3,5785,0
4445,3,3,2,2,150,2,2,1,9,4917,1
7427,3,3,2,3,130,4,2,2,10,4363,0
7714,2,3,5,2,240,5,2,2,3,1079,0
6408,5,3,3,3,209,3,3,1,2,4036,1
3771,1,3,3,5,157,3,1,2,7,5100,0
3421,4,2,5,1,228,2,3,2,6,4984,1
6853,4,2,3,4,153,10,2,1,4,5456,1
4928,5,2,5,5,137,4,1,2,4,5888,0
4496,5,1,5,5,132,3,1,2,5,4195,1
4921,4,1,4,3,208,3,2,1,3,4837,1
5859,1,3,2,5,279,3,1,1,8,4632,0
4448,5,3,6,1,237,5,3,2,2,5364,0
6376,2,3,4,5,197,2,1,2,3,4379,1
6944,5,3,3,3,253,2,1,2,5,4112,1
5142,5,3,4,5,240,5,1,2,8,4558,0
5737,4,1,4,5,188,3,1,2,4,4632,0
6530,5,3,3,3,177,3,2,2,10,5374,1
6991,4,2,4,1,256,2,2,2,2,5630,0
6003,1,1,6,4,282,4,1,2,6,1580,0
3772,2,3,2,2,203,4,2,2,10,5764,0
8554,2,3,5,4,232,5,1,2,10,1512,0
7400,5,2,6,5,305,4,1,1,7,1099,1
8481,1,1,5,5,176,3,2,1,8,5335,1
5627,3,2,4,4,139,2,3,1,9,4446,1
4053,1,3,3,5,172,10,3,1,1,4929,1
8346,5,1,4,4,269,5,2,1,2,1473,0
8459,3,3,4,3,207,3,1,1,7,4220,1
7413,1,2,6,5,250,4,1,2,8,1689,0
7640,5,3,4,3,248,2,2,1,10,5211,0
7797,1,1,4,4,251,2,1,2,2,4800,0
5049,1,1,5,1,260,2,1,2,4,5580,0
7017,1,3,6,1,103,4,1,2,2,5089,0
8710,2,3,3,2,244,2,3,1,9,4142,0
4640,5,1,5,1,257,3,2,1,5,4355,0
5919,1,3,4,3,196,2,1,1,5,5656,0
6882,5,3,5,2,262,6,2,1,4,1532,1
4641,1,1,4,4,184,3,2,2,2,4639,0
5272,2,3,7,4,243,4,2,1,6,1362,1
8780,5,2,4,2,257,2,3,2,3,4108,1
5539,4,3,6,2,257,4,1,1,4,1929,1
8834,5,3,7,3,307,4,1,1,1,1589,1
4669,4,2,5,2,133,2,3,1,2,4556,0
4567,4,3,6,1,247,4,2,1,10,1783,0
3534,5,3,5,1,245,3,1,2,6,4343,1
3875,3,3,2,5,176,3,1,1,4,5463,0
8707,4,3,5,3,222,4,2,2,2,4060,0
7160,5,3,3,4,177,4,2,1,3,1148,0
8242,2,3,4,5,208,3,1,1,8,4632,0
8074,2,1,4,2,273,2,1,1,9,4221,0
6696,5,1,3,5,254,3,2,2,5,4946,0
4982,5,3,3,2,156,7,2,1,9,5313,1
3454,2,3,4,3,192,3,1,2,1,4045,1
5545,4,3,5,2,180,3,2,2,1,4655,1
7049,3,3,5,4,222,3,1,2,3,5555,0
7547,3,2,5,5,171,3,2,1,6,4209,1
5721,1,3,6,3,305,4,1,2,3,1276,0
6018,5,1,6,3,269,4,1,2,3,1006,0
7726,2,3,6,2,260,5,1,1,9,1667,1
7896,5,3,3,1,220,2,1,1,7,5653,0
3998,5,3,3,4,173,2,1,2,5,4402,0
7608,5,3,3,3,201,2,1,1,2,5361,0
8751,1,1,3,1,139,3,1,1,4,4666,0
8344,2,1,4,5,219,5,1,2,2,1260,0
4555,4,3,6,4,275,4,1,1,4,1192,1
7842,5,3,2,2,201,3,3,2,2,4865,1
8363,3,2,5,2,276,6,2,1,6,1043,0
3506,5,3,4,4,222,2,1,2,5,5660,0
4400,5,2,4,4,165,6,1,1,5,4640,1
6002,5,1,4,3,270,5,1,1,3,1786,1
8985,1,3,3,1,110,4,2,1,6,5474,1
8941,4,3,4,2,185,2,2,1,3,5356,0
4659,1,2,6,3,233,6,1,1,9,4814,0
3824,5,1,3,3,154,10,2,1,1,5235,1
5557,4,3,2,2,249,3,1,1,3,4129,1
8610,5,1,5,2,221,6,2,2,4,1952,1
3212,5,3,3,5,251,2,1,2,4,4015,0
7338,5,3,3,1,207,4,1,2,9,4252,0
4004,5,3,2,2,158,3,2,1,2,4153,0
5493,1,2,5,5,132,2,3,2,6,4392,0
8699,3,3,5,5,242,4,2,1,2,5359,0
4284,5,3,6,1,246,6,1,1,9,5466,1
8902,2,2,5,2,244,5,1,2,1,1875,1
5131,4,3,4,5,172,2,2,2,7,4559,0
5971,4,3,4,5,271,4,1,2,6,5078,0
5622,5,2,3,3,168,4,1,1,2,4541,1
4153,4,3,5,4,160,3,3,2,10,5527,0
8959,4,3,4,2,261,2,2,1,4,5926,1
8562,5,3,5,1,271,5,1,1,5,1869,1
8880,5,1,5,2,239,5,2,1,6,1310,1
4267,4,3,3,2,169,3,1,1,3,5673,0
8110,2,3,4,3,160,2,1,2,5,4522,1
4176,5,3,3,2,179,2,3,1,8,5589,0
6619,4,3,4,1,247,6,1,2,4,1349,1
7091,3,3,2,5,264,3,2,1,3,4320,1
8496,5,2,4,2,185,3,1,2,8,4322,1
6304,2,2,6,5,301,4,1,1,3,1958,0
6387,1,3,3,2,167,3,2,2,5,5995,1
4579,4,3,4,4,218,2,1,2,4,4104,1
6648,5,3,4,2,246,2,1,2,2,4497,1
7085,3,3,4,1,168,2,2,1,1,5698,1
8075,3,1,4,4,199,3,1,1,9,5016,0
4599,1,3,2,1,255,3,2,1,1,5929,0
7280,5,3,4,4,209,2,2,1,3,4407,0
6120,5,3,4,1,206,5,2,1,7,5941,1
3784,2,3,3,3,201,10,3,2,10,5281,0
4376,5,1,3,5,195,3,2,1,10,5585,0
7494,5,3,3,3,239,3,1,1,4,1399,0
3827,3,1,4,3,180,3,1,2,7,5718,0
6859,4,2,3,1,237,3,2,1,1,4476,1
8826,5,3,2,1,258,5,1,2,10,1221,1
5138,5,3,3,5,180,2,2,2,1,5940,1
4310,5,3,3,5,142,2,1,1,8,4914,0
3530,5,3,3,5,197,3,1,2,3,5658,0
7192,2,3,6,3,284,4,2,2,4,1652,1
5452,2,3,4,4,259,7,2,2,7,4408,0
8724,5,3,5,3,255,4,1,1,5,5870,0
7659,1,1,5,3,216,10,2,2,4,4409,1
6866,5,2,6,3,266,4,1,1,9,1876,0
7561,4,3,2,2,169,3,2,1,4,5485,1
7564,2,3,4,5,275,5,1,1,6,4450,0
5338,2,1,4,4,204,3,2,2,8,5614,0
8518,2,3,4,4,183,4,1,1,6,4562,1
6110,5,3,4,5,216,2,1,1,8,5767,1
8681,3,3,5,1,137,2,1,2,9,4580,1
6392,5,3,3,2,239,3,1,1,10,4486,0
4125,1,2,4,1,233,2,1,2,7,4403,1
8747,3,1,4,2,112,2,2,1,8,4599,0
6951,1,3,3,1,221,2,2,1,6,5267,0
8269,4,3,7,3,296,4,2,1,7,1427,0
7550,5,2,3,2,150,3,3,2,2,5502,0
4196,5,3,3,2,255,4,2,2,5,4415,0
6073,4,3,4,4,259,3,1,2,3,4509,0
8495,3,2,3,2,251,2,2,1,4,4074,0
4350,5,3,5,4,237,3,3,2,9,5401,0
4788,5,1,3,2,144,3,3,1,9,4428,1
